30 RGB 4049 2 0 0 1232 270 0 0 508 606 104 0 145 617 294 87 27 238 584 253 353 208 719 417 0 27 508 1061 817 679 92 1926 0 0 9 297 2710 1603 352 1768 0 2866 4 16 306 6423 1567 1245 0 0 0 0 2 90 865 1129 143 1356 1 95 76 960 35 259
31 RGB 5941 3 0 0 338 243 2 0 114 266 172 2 44 143 458 270 10 85 669 992 819 573 296 1802 0 2 65 1852 4104 1570 55 1599 0 0 1 18 1254 3137 438 1956 0 2931 14 71 3 3283 1235 1165 0 0 0 0 0 0 19 304 19 704 2 298 32 362 1 264
32 RGB 2 283 385 1 53 109 2504 2133 0 0 100 2500 3491 3626 349 29 0 0 0 0 18 1556 4093 4974 813 2072 3 0 295 2210 85 1117 0 0 0 0 0 0 0 0 1 371 125 1397 9 1201 325 1449 0 0 0 0 0 0 0 0 0 0 0 0 0 126 803 1392
33 RGB 2475 539 7 0 195 2733 315 29 4 424 2370 210 388 160 604 1965 5 20 100 636 692 3442 79 3551 30 1309 49 84 91 2498 205 3393 82 61 82 117 201 416 102 514 185 832 940 1185 290 637 1197 1413 275 133 99 94 202 264 86 198 111 98 116 110 55 135 127 1041
34 RGB 1 242 1698 1678 2360 575 878 2554 0 9 52 281 926 2727 3662 1984 0 0 8 33 76 235 414 3060 1063 1018 10 176 1578 1057 37 567 0 4 3 28 0 51 38 256 2 315 202 437 0 151 690 918 0 0 34 69 0 0 374 705 0 5 193 1388 0 1 278 4899
35 RGB 43 535 1524 1225 1750 909 412 840 1 4 141 409 903 2302 2936 1017 1 1 0 10 179 293 656 3624 1322 2858 241 419 3192 1605 1016 1193 0 0 0 7 0 34 17 110 2 161 155 769 14 1092 505 883 0 0 3 22 0 0 141 227 0 1 55 444 0 25 225 3547
36 RGB 16 17 2 1 30 72 44 11 32 105 193 140 378 128 256 472 73 88 230 629 1897 1607 632 482 128 122 208 353 1300 2059 1963 1229 170 215 293 364 1072 1094 1104 1319 514 866 310 444 1301 1506 703 854 476 421 421 387 1252 987 695 616 842 791 510 585 1454 1500 1002 1035
37 RGB 469 175 54 37 357 429 149 97 174 394 257 172 225 263 783 400 26 86 303 2622 6624 698 1101 7928 17 70 960 115 1460 1508 1990 1288 0 0 0 23 131 158 244 572 11 260 76 44 16 404 125 237 0 0 0 0 0 0 0 17 1 185 23 391 27 160 2523 3141
38 RGB 0 0 0 0 0 3 2 0 1 8 13 5 1 2 20 19 2 3 9 37 36 25 5 17 0 6 10 18 34 58 10 65 0 0 2 7 31 55 215 87 0 298 86 214 498 3022 733 8070 0 0 0 198 2284 2424 405 2135 0 7288 25 2337 38 3765 724 4650
39 RGB 821 1078 767 206 18 668 601 1090 4 28 97 701 1039 4180 224 865 1 3 53 96 455 3256 759 6737 53 777 902 588 175 2087 943 4938 0 7 8 27 79 139 96 607 6 758 310 827 26 1001 267 804 0 0 0 0 0 13 30 94 7 179 7 102 4 155 37 200
